sample,assembly,Name,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Contigs,Max_Contig_Length
SAMEA2467035,SR (megahit),SemiBin_61.fa,80.76,2.33,0.892,7796,291.452508004269,1832816,0.41,279,22262
SAMEA2467035,SR (megahit),SemiBin_63.fa,7.28,0.0,0.92,4557,313.4951768488746,317362,0.47,72,9461
SAMEA2467035,SR (megahit),SemiBin_64.fa,86.71,2.58,0.913,9109,293.8836443468716,1754262,0.5,245,30333
SAMEA2467035,SR (megahit),SemiBin_643.fa,99.19,0.36,0.875,1433500,324.0743162901308,1865823,0.47,2,1433500
SAMEA2467035,SR (megahit),SemiBin_65.fa,5.07,0.13,0.83,8725,222.3571428571429,246429,0.37,35,39490
SAMEA2467035,SR (megahit),SemiBin_67.fa,50.76,2.22,0.876,3960,270.086785009862,1404956,0.33,362,14059
SAMEA2467035,SR (megahit),SemiBin_68.fa,7.0,0.01,0.931,8696,325.1038461538462,271791,0.53,41,36706
SAMEA2467035,SR (megahit),SemiBin_69.fa,8.5,0.6,0.854,10785,259.6694677871149,323923,0.49,44,26613
SAMEA2467035,SR (megahit),SemiBin_7.fa,46.01,0.99,0.899,4085,255.4585607940447,1713333,0.31,428,11640
SAMEA2467035,SR (megahit),SemiBin_70.fa,14.55,1.6,0.841,3902,234.695093457944,714387,0.46,172,12797
SAMEA2467035,SR (megahit),SemiBin_72.fa,83.8,2.86,0.904,11033,342.0394385026738,3393133,0.46,378,46807
SAMEA2467035,SR (megahit),SemiBin_73.fa,95.48,6.47,0.914,39997,366.0458206053874,4315048,0.59,167,123041
SAMEA2467035,SR (megahit),SemiBin_74.fa,74.26,3.81,0.906,6233,295.8918449971081,1688844,0.53,294,28876
SAMEA2467035,SR (megahit),SemiBin_75.fa,64.99,0.0,0.839,22718,326.2980041293875,1692392,0.57,106,74412
SAMEA2467035,SR (megahit),SemiBin_76.fa,51.88,0.26,0.916,4613,312.2935897435897,2388605,0.46,543,12594
SAMEA2467035,SR (megahit),SemiBin_77.fa,37.56,1.16,0.906,3908,258.08014571949,936129,0.43,239,14733
SAMEA2467035,SR (megahit),SemiBin_78.fa,73.49,2.57,0.897,6916,280.1594117647059,1589442,0.57,250,26416
SAMEA2467035,SR (megahit),SemiBin_79.fa,90.63,2.67,0.893,16641,297.9112970711297,2388472,0.59,196,90198
SAMEA2467035,SR (megahit),SemiBin_8.fa,65.93,2.36,0.894,5246,277.0739872782055,2772046,0.51,561,23145
SAMEA2467035,SR (megahit),SemiBin_80.fa,10.88,0.02,0.901,2985,258.9279869067103,525994,0.67,171,5301
SAMEA2467035,SR (megahit),SemiBin_81.fa,39.48,1.91,0.868,4440,236.1220973782771,1084985,0.6,250,14445
SAMEA2467035,SR (megahit),SemiBin_83.fa,89.63,0.29,0.875,23431,340.1771428571429,2038816,0.6,151,83570
SAMEA2467035,SR (megahit),SemiBin_84.fa,83.05,2.74,0.861,12015,308.4517121969989,2788364,0.42,278,39145
SAMEA2467035,SR (megahit),SemiBin_86.fa,85.61,0.38,0.886,24482,299.2417112299465,1891121,0.6,127,63089
SAMEA2467035,SR (megahit),SemiBin_88.fa,86.66,0.19,0.904,116215,360.0569484240688,3331781,0.46,55,360137
SAMEA2467035,SR (megahit),SemiBin_89.fa,12.69,0.2,0.853,5614,253.4175824175824,808399,0.39,155,26658
SAMEA2467035,SR (megahit),SemiBin_9.fa,8.75,0.0,0.892,3094,271.66,227838,0.46,71,5552
SAMEA2467035,SR (megahit),SemiBin_91.fa,33.75,2.68,0.856,35538,322.472602739726,823433,0.57,33,76719
SAMEA2467035,SR (megahit),SemiBin_92.fa,81.61,0.02,0.868,33615,330.4581395348837,1962889,0.61,77,107379
SAMEA2467035,SR (megahit),SemiBin_93.fa,9.48,0.0,0.896,3146,270.3174904942966,474982,0.49,151,4988
SAMEA2467035,SR (megahit),SemiBin_95.fa,84.31,0.84,0.915,14184,317.9831862126944,2476052,0.43,224,52218
SAMEA2467035,SR (megahit),SemiBin_96.fa,16.55,0.14,0.888,3317,245.7420718816068,391804,0.59,113,8815
SAMEA2467035,SR (megahit),SemiBin_97.fa,32.01,6.29,0.87,5648,241.6659759635309,2003744,0.35,383,44648
SAMEA2467035,SR (megahit),SemiBin_98.fa,93.44,2.41,0.885,100226,310.0073723012111,1992387,0.6,35,270225
SAMEA2467041,Hybrid (hybridspades),SemiBin_0.fa,95.3,1.89,0.913,3118391,375.478198094138,4270540,0.42,4,3118391
SAMEA2467041,Hybrid (hybridspades),SemiBin_1.fa,80.37,3.55,0.873,2075449,289.6422018348624,2270642,0.44,2,2075449
SAMEA2467041,Hybrid (hybridspades),SemiBin_10.fa,99.04,32.16,0.904,167137,382.7215372297839,7919374,0.43,88,1356958
SAMEA2467041,Hybrid (hybridspades),SemiBin_101.fa,48.31,1.22,0.857,49261,291.5784581738655,1859659,0.47,63,96474
SAMEA2467041,Hybrid (hybridspades),SemiBin_103.fa,78.45,0.24,0.853,21410,315.7150997150997,1945730,0.57,121,92385
SAMEA2467041,Hybrid (hybridspades),SemiBin_104.fa,23.32,0.24,0.842,54163,289.5810473815461,412257,0.39,10,90551
SAMEA2467041,Hybrid (hybridspades),SemiBin_108.fa,8.5,0.09,0.878,57835,324.8708333333333,265917,0.49,7,83452
SAMEA2467041,Hybrid (hybridspades),SemiBin_11.fa,36.07,0.08,0.902,474249,373.9344481605351,1856733,0.43,6,532107
SAMEA2467041,Hybrid (hybridspades),SemiBin_110.fa,44.6,2.15,0.827,7846,237.5758333333333,1028540,0.46,154,79813
SAMEA2467041,Hybrid (hybridspades),SemiBin_111.fa,12.56,0.08,0.859,54208,332.8767441860465,499184,0.43,11,79560
SAMEA2467041,Hybrid (hybridspades),SemiBin_112.fa,72.02,2.37,0.878,16385,255.4855979962429,2774279,0.41,224,77934
SAMEA2467041,Hybrid (hybridspades),SemiBin_113.fa,8.39,0.0,0.825,23563,239.4075949367088,341949,0.47,19,77918
SAMEA2467041,Hybrid (hybridspades),SemiBin_116.fa,28.2,0.53,0.842,20934,272.0020140986908,959039,0.62,62,72908
SAMEA2467041,Hybrid (hybridspades),SemiBin_117.fa,7.31,0.02,0.844,25240,289.1901408450704,290579,0.38,15,69251
SAMEA2467041,Hybrid (hybridspades),SemiBin_118.fa,56.1,1.83,0.847,28920,238.7954983922829,1310097,0.38,77,69066
SAMEA2467041,Hybrid (hybridspades),SemiBin_119.fa,8.64,0.01,0.891,59269,305.5333333333334,200148,0.46,5,67150
SAMEA2467041,Hybrid (hybridspades),SemiBin_12.fa,96.06,1.31,0.874,1346310,324.2232893157263,1850204,0.47,3,1346310
SAMEA2467041,Hybrid (hybridspades),SemiBin_120.fa,51.97,1.18,0.864,18894,241.1576553815058,1651290,0.42,118,67106
SAMEA2467041,Hybrid (hybridspades),SemiBin_122.fa,7.55,0.0,0.86,23200,243.1182795698925,235463,0.61,14,66444
SAMEA2467041,Hybrid (hybridspades),SemiBin_123.fa,9.77,0.02,0.838,18101,251.2401129943503,316973,0.36,21,64988
SAMEA2467041,Hybrid (hybridspades),SemiBin_124.fa,47.84,2.14,0.869,14948,252.3155487804878,1137735,0.48,111,64032
SAMEA2467041,Hybrid (hybridspades),SemiBin_127.fa,4.71,0.02,0.859,20000,235.8048780487805,201534,0.45,13,62870
SAMEA2467041,Hybrid (hybridspades),SemiBin_128.fa,50.21,3.36,0.814,16316,199.2537372147915,1855861,0.44,154,61120
SAMEA2467041,Hybrid (hybridspades),SemiBin_13.fa,93.77,1.55,0.893,1304173,287.8704663212435,1304173,0.28,1,1304173
SAMEA2467041,Hybrid (hybridspades),SemiBin_130.fa,8.18,0.0,0.83,24944,303.5970695970696,298986,0.59,17,58174
SAMEA2467041,Hybrid (hybridspades),SemiBin_132.fa,7.15,0.0,0.852,38735,232.8364312267658,218279,0.45,9,57029
SAMEA2467041,Hybrid (hybridspades),SemiBin_133.fa,63.73,11.5,0.814,10663,224.1080564188381,3436395,0.65,426,56572
SAMEA2467041,Hybrid (hybridspades),SemiBin_134.fa,12.29,0.52,0.854,52817,310.55078125,278945,0.64,9,55976
SAMEA2467041,Hybrid (hybridspades),SemiBin_135.fa,5.18,0.02,0.776,43782,225.2807692307692,225129,0.56,9,55895
SAMEA2467041,Hybrid (hybridspades),SemiBin_136.fa,10.56,0.01,0.882,16741,275.7147058823529,318090,0.54,25,55766
SAMEA2467041,Hybrid (hybridspades),SemiBin_137.fa,32.43,1.61,0.782,11497,177.1622983870968,1338090,0.44,166,54071
SAMEA2467041,Hybrid (hybridspades),SemiBin_138.fa,46.04,0.13,0.784,10620,208.4358833241607,1440388,0.59,175,53546
SAMEA2467041,Hybrid (hybridspades),SemiBin_14.fa,48.06,7.44,0.902,686142,377.7115303983229,2992504,0.44,5,1115148
SAMEA2467041,Hybrid (hybridspades),SemiBin_140.fa,26.34,2.16,0.717,20123,152.2698810269255,1009811,0.4,80,51402
SAMEA2467041,Hybrid (hybridspades),SemiBin_142.fa,55.51,2.93,0.845,10881,229.9520734194426,2391505,0.31,278,50246
SAMEA2467041,Hybrid (hybridspades),SemiBin_144.fa,56.54,4.36,0.816,17826,190.4837355718783,1324775,0.49,94,46317
SAMEA2467041,Hybrid (hybridspades),SemiBin_146.fa,72.08,0.85,0.871,13801,283.1724770642202,2119665,0.5,212,45353
SAMEA2467041,Hybrid (hybridspades),SemiBin_147.fa,51.1,1.91,0.844,11717,255.4006359300477,1705789,0.43,178,45285
SAMEA2467041,Hybrid (hybridspades),SemiBin_149.fa,51.12,2.53,0.808,14838,203.0871934604905,1372923,0.61,134,43229
SAMEA2467041,Hybrid (hybridspades),SemiBin_15.fa,74.17,0.18,0.899,885773,325.1264031234749,2218984,0.4,5,1052020
SAMEA2467041,Hybrid (hybridspades),SemiBin_151.fa,45.0,1.95,0.838,9389,234.7664504170528,1802387,0.6,240,42359
SAMEA2467041,Hybrid (hybridspades),SemiBin_152.fa,38.09,5.43,0.705,15772,148.8079896907217,1949580,0.4,180,42335
SAMEA2467041,Hybrid (hybridspades),SemiBin_154.fa,11.06,0.08,0.772,10448,219.5530085959885,884702,0.62,107,40896
SAMEA2467041,Hybrid (hybridspades),SemiBin_156.fa,46.63,2.11,0.795,11383,185.5533635187581,2147229,0.44,256,40886
SAMEA2467041,Hybrid (hybridspades),SemiBin_159.fa,11.54,0.03,0.807,4861,206.485257985258,619040,0.55,131,38547
SAMEA2467041,Hybrid (hybridspades),SemiBin_16.fa,87.65,3.4,0.896,557593,365.015690376569,4665592,0.42,21,938630
SAMEA2467041,Hybrid (hybridspades),SemiBin_161.fa,17.04,1.59,0.777,8445,171.5184321045264,1407025,0.45,214,38256
SAMEA2467041,Hybrid (hybridspades),SemiBin_162.fa,7.27,0.56,0.851,11135,228.0495495495496,355283,0.53,50,38012
SAMEA2467041,Hybrid (hybridspades),SemiBin_165.fa,12.89,0.0,0.808,31961,278.9705882352941,246069,0.54,11,36762
SAMEA2467041,Hybrid (hybridspades),SemiBin_166.fa,13.83,1.01,0.754,11307,183.9750755287009,958220,0.51,107,36076
SAMEA2467041,Hybrid (hybridspades),SemiBin_169.fa,28.56,1.8,0.81,12415,175.2235922729141,1562404,0.51,171,35128
SAMEA2467041,Hybrid (hybridspades),SemiBin_17.fa,54.72,0.11,0.85,927668,304.2377777777777,964995,0.27,7,927668
SAMEA2467041,Hybrid (hybridspades),SemiBin_171.fa,19.79,2.29,0.72,10373,167.0050314465409,1090181,0.48,129,34744
SAMEA2467041,Hybrid (hybridspades),SemiBin_172.fa,7.1,0.18,0.832,22238,193.962457337884,203495,0.39,11,33925
SAMEA2467041,Hybrid (hybridspades),SemiBin_173.fa,20.05,1.07,0.799,9369,177.8521320495186,957609,0.46,130,33331
SAMEA2467041,Hybrid (hybridspades),SemiBin_175.fa,8.58,1.01,0.725,8418,133.4677804295943,682258,0.5,99,32682
SAMEA2467041,Hybrid (hybridspades),SemiBin_176.fa,11.87,0.08,0.757,10748,159.6808300395257,631948,0.46,68,31588
SAMEA2467041,Hybrid (hybridspades),SemiBin_18.fa,98.87,27.56,0.862,258436,338.4623586429726,3637277,0.44,21,873051
SAMEA2467041,Hybrid (hybridspades),SemiBin_180.fa,57.1,3.35,0.811,8986,193.4322563835331,2725912,0.51,400,30469
SAMEA2467041,Hybrid (hybridspades),SemiBin_181.fa,6.15,0.04,0.752,7906,196.3054892601432,324902,0.55,50,30108
SAMEA2467041,Hybrid (hybridspades),SemiBin_185.fa,13.5,0.01,0.821,6348,301.4820936639118,399078,0.57,68,29871
SAMEA2467041,Hybrid (hybridspades),SemiBin_187.fa,21.54,1.07,0.794,12692,192.8261924009701,888213,0.5,89,29475
SAMEA2467041,Hybrid (hybridspades),SemiBin_188.fa,25.88,2.46,0.799,8826,194.4066570188133,2502512,0.41,321,29322
SAMEA2467041,Hybrid (hybridspades),SemiBin_19.fa,99.99,0.9,0.891,431255,307.4246153846154,3021166,0.37,10,797556
SAMEA2467041,Hybrid (hybridspades),SemiBin_193.fa,5.16,0.01,0.746,7649,228.7821522309711,347134,0.6,49,27952
SAMEA2467041,Hybrid (hybridspades),SemiBin_194.fa,6.03,0.0,0.826,13182,241.7429718875502,217580,0.4,18,27507
SAMEA2467041,Hybrid (hybridspades),SemiBin_196.fa,5.13,0.0,0.838,10072,231.25,200843,0.51,27,27272
SAMEA2467041,Hybrid (hybridspades),SemiBin_197.fa,4.51,0.0,0.571,7928,102.471186440678,313899,0.38,45,27022
SAMEA2467041,Hybrid (hybridspades),SemiBin_198.fa,9.6,0.02,0.776,9229,167.2863961813842,534220,0.43,65,27020
SAMEA2467041,Hybrid (hybridspades),SemiBin_2.fa,69.95,0.2,0.886,1605248,374.5904761904762,2527472,0.45,6,1605248
SAMEA2467041,Hybrid (hybridspades),SemiBin_20.fa,32.2,0.02,0.911,764410,309.4242021276596,764410,0.29,1,764410
SAMEA2467041,Hybrid (hybridspades),SemiBin_200.fa,8.33,0.01,0.374,8870,91.955185659411,572014,0.28,80,26637
SAMEA2467041,Hybrid (hybridspades),SemiBin_201.fa,8.64,0.03,0.779,10500,221.3067226890756,602109,0.6,67,26579
SAMEA2467041,Hybrid (hybridspades),SemiBin_202.fa,7.72,0.0,0.713,8471,134.1422924901186,280719,0.42,36,26550
SAMEA2467041,Hybrid (hybridspades),SemiBin_21.fa,49.02,0.2,0.903,697420,296.5669934640523,1203400,0.29,2,697420
SAMEA2467041,Hybrid (hybridspades),SemiBin_214.fa,13.04,3.39,0.843,5779,243.835943940643,1047163,0.45,193,22849
SAMEA2467041,Hybrid (hybridspades),SemiBin_215.fa,8.14,0.0,0.508,8264,107.7677053824363,445342,0.37,59,22809
SAMEA2467041,Hybrid (hybridspades),SemiBin_216.fa,4.51,0.0,0.462,7495,106.921052631579,235930,0.39,33,22742
SAMEA2467041,Hybrid (hybridspades),SemiBin_217.fa,5.39,0.0,0.716,14055,162.1404682274247,201448,0.4,21,22445
SAMEA2467041,Hybrid (hybridspades),SemiBin_22.fa,37.6,0.02,0.903,680785,335.9689034369886,680785,0.4,1,680785
SAMEA2467041,Hybrid (hybridspades),SemiBin_221.fa,4.81,0.0,0.616,11010,115.1769115442279,367961,0.59,45,21637
SAMEA2467041,Hybrid (hybridspades),SemiBin_222.fa,4.02,0.0,0.802,7339,198.625730994152,251851,0.47,39,21555
SAMEA2467041,Hybrid (hybridspades),SemiBin_224.fa,5.68,0.01,0.771,8520,157.8205980066445,365248,0.38,57,21511
SAMEA2467041,Hybrid (hybridspades),SemiBin_23.fa,79.37,0.03,0.905,572495,328.1493055555555,2188505,0.38,9,658755
SAMEA2467041,Hybrid (hybridspades),SemiBin_24.fa,22.88,0.0,0.894,608885,278.5632318501171,796177,0.4,7,608885
SAMEA2467041,Hybrid (hybridspades),SemiBin_246.fa,6.32,0.01,0.769,7323,169.8055555555555,306836,0.61,52,18242
SAMEA2467041,Hybrid (hybridspades),SemiBin_25.fa,81.29,7.04,0.888,150089,309.9165839126117,2103959,0.41,23,603207
SAMEA2467041,Hybrid (hybridspades),SemiBin_251.fa,8.72,0.02,0.53,7517,117.391874180865,501413,0.49,76,17859
SAMEA2467041,Hybrid (hybridspades),SemiBin_257.fa,7.31,0.04,0.793,7102,218.9345509893455,538906,0.61,91,16720
SAMEA2467041,Hybrid (hybridspades),SemiBin_26.fa,22.81,0.06,0.9,579748,301.5333333333334,737766,0.29,2,579748
SAMEA2467041,Hybrid (hybridspades),SemiBin_27.fa,85.15,9.15,0.869,197829,312.0192061459667,2521496,0.58,19,532857
SAMEA2467041,Hybrid (hybridspades),SemiBin_276.fa,11.18,2.36,0.741,5550,160.0626822157435,882531,0.34,172,14935
SAMEA2467041,Hybrid (hybridspades),SemiBin_28.fa,25.69,0.07,0.889,499099,338.2942708333333,876000,0.38,4,499099
SAMEA2467041,Hybrid (hybridspades),SemiBin_29.fa,20.67,0.03,0.891,498688,293.9322289156627,655173,0.34,10,498688
SAMEA2467041,Hybrid (hybridspades),SemiBin_3.fa,81.37,0.56,0.908,624035,371.9731729879741,3982155,0.45,14,1579841
SAMEA2467041,Hybrid (hybridspades),SemiBin_30.fa,58.27,0.63,0.835,377451,306.9053347280335,2103713,0.38,17,490592
SAMEA2467041,Hybrid (hybridspades),SemiBin_31.fa,82.58,24.35,0.871,67978,301.0759259259259,3351879,0.58,95,475131
SAMEA2467041,Hybrid (hybridspades),SemiBin_310.fa,7.6,0.01,0.839,3586,233.5367847411444,305091,0.42,81,11411
SAMEA2467041,Hybrid (hybridspades),SemiBin_32.fa,69.94,6.56,0.857,93292,309.1966439433665,2060822,0.57,29,241967
SAMEA2467041,Hybrid (hybridspades),SemiBin_33.fa,45.29,0.24,0.898,350060,296.0521327014218,1040881,0.35,6,469649
SAMEA2467041,Hybrid (hybridspades),SemiBin_34.fa,82.47,9.28,0.859,175941,317.0291319857313,3717385,0.41,30,460631
SAMEA2467041,Hybrid (hybridspades),SemiBin_349.fa,12.02,0.0,0.899,3693,272.2519280205656,351745,0.46,94,8939
SAMEA2467041,Hybrid (hybridspades),SemiBin_35.fa,31.32,0.0,0.871,356123,345.1990740740741,1025877,0.45,3,458376
SAMEA2467041,Hybrid (hybridspades),SemiBin_36.fa,82.39,15.25,0.891,162162,329.7941580756014,3224937,0.43,30,442439
SAMEA2467041,Hybrid (hybridspades),SemiBin_37.fa,57.0,7.21,0.898,208238,338.5643274853801,1931405,0.45,17,432486
SAMEA2467041,Hybrid (hybridspades),SemiBin_38.fa,16.16,0.0,0.904,428373,344.792,428373,0.53,1,428373
SAMEA2467041,Hybrid (hybridspades),SemiBin_39.fa,16.1,0.03,0.87,428225,312.5519848771266,569057,0.38,2,428225
SAMEA2467041,Hybrid (hybridspades),SemiBin_4.fa,85.65,0.1,0.907,1533162,329.4900709219858,1533162,0.54,1,1533162
SAMEA2467041,Hybrid (hybridspades),SemiBin_40.fa,87.55,13.21,0.884,143111,323.941270860077,3417126,0.47,52,412507
SAMEA2467041,Hybrid (hybridspades),SemiBin_41.fa,54.89,0.15,0.893,266172,333.0418918918919,1652672,0.38,8,412023
SAMEA2467041,Hybrid (hybridspades),SemiBin_42.fa,8.72,0.0,0.874,360731,382.4403973509934,396006,0.45,2,360731
SAMEA2467041,Hybrid (hybridspades),SemiBin_43.fa,79.96,0.49,0.911,167849,328.139185448794,2726949,0.41,27,360157
SAMEA2467041,Hybrid (hybridspades),SemiBin_44.fa,38.75,0.36,0.848,200509,338.8123620309051,1084622,0.38,8,345316
SAMEA2467041,Hybrid (hybridspades),SemiBin_45.fa,39.27,1.46,0.867,128638,271.2237918215613,1258005,0.42,14,335824
SAMEA2467041,Hybrid (hybridspades),SemiBin_46.fa,18.54,0.05,0.881,335457,307.8592750533049,490762,0.57,2,335457
SAMEA2467041,Hybrid (hybridspades),SemiBin_47.fa,79.98,1.17,0.889,86227,306.8511220580186,1888258,0.45,28,331069
SAMEA2467041,Hybrid (hybridspades),SemiBin_48.fa,85.41,0.35,0.903,134423,358.2422133863486,3587921,0.43,41,328848
SAMEA2467041,Hybrid (hybridspades),SemiBin_49.fa,52.64,0.16,0.863,257209,350.7226890756302,1883824,0.43,10,295983
SAMEA2467041,Hybrid (hybridspades),SemiBin_5.fa,100.0,0.47,0.849,1478204,320.3793911007025,2896440,0.45,9,1478204
SAMEA2467041,Hybrid (hybridspades),SemiBin_50.fa,82.63,10.68,0.879,100767,297.9379674439068,2305927,0.47,35,292695
SAMEA2467041,Hybrid (hybridspades),SemiBin_51.fa,20.2,0.0,0.865,141767,309.3961708394698,727335,0.41,12,281613
SAMEA2467041,Hybrid (hybridspades),SemiBin_52.fa,82.9,2.58,0.848,92300,288.5359934183464,2474984,0.54,43,278622
SAMEA2467041,Hybrid (hybridspades),SemiBin_53.fa,14.33,0.04,0.931,277951,305.1946564885496,514070,0.39,3,277951
SAMEA2467041,Hybrid (hybridspades),SemiBin_54.fa,77.09,0.18,0.892,100091,317.1025519848772,2252824,0.42,38,276993
SAMEA2467041,Hybrid (hybridspades),SemiBin_55.fa,88.95,1.77,0.864,81346,291.4461022006714,2702955,0.55,72,275837
SAMEA2467041,Hybrid (hybridspades),SemiBin_56.fa,26.01,0.8,0.842,104053,297.9554585152839,1212867,0.41,27,275341
SAMEA2467041,Hybrid (hybridspades),SemiBin_57.fa,50.52,0.04,0.886,146289,320.6971608832808,1030508,0.61,12,269746
SAMEA2467041,Hybrid (hybridspades),SemiBin_58.fa,73.33,0.14,0.896,69748,313.1193520886616,1227023,0.54,22,264611
SAMEA2467041,Hybrid (hybridspades),SemiBin_59.fa,87.65,0.98,0.893,96405,347.7963019096696,3846630,0.43,62,263847
SAMEA2467041,Hybrid (hybridspades),SemiBin_6.fa,95.6,0.86,0.906,1355076,368.8602510460251,4372438,0.46,5,1471075
SAMEA2467041,Hybrid (hybridspades),SemiBin_60.fa,85.23,0.04,0.873,186298,324.9046025104603,2662419,0.45,22,257481
SAMEA2467041,Hybrid (hybridspades),SemiBin_61.fa,45.67,2.27,0.851,121504,314.0446428571428,1608158,0.42,18,254073
SAMEA2467041,Hybrid (hybridspades),SemiBin_62.fa,83.92,0.76,0.863,68712,312.5911111111111,2198470,0.57,66,251758
SAMEA2467041,Hybrid (hybridspades),SemiBin_63.fa,17.4,0.04,0.849,160413,308.8645161290323,506581,0.41,5,248330
SAMEA2467041,Hybrid (hybridspades),SemiBin_64.fa,33.23,0.13,0.837,115259,339.2581063553826,936250,0.45,13,243635
SAMEA2467041,Hybrid (hybridspades),SemiBin_65.fa,95.44,33.82,0.886,72046,316.1230123012301,3560390,0.42,78,235455
SAMEA2467041,Hybrid (hybridspades),SemiBin_66.fa,83.05,20.31,0.852,58622,294.4348496530455,2681623,0.61,73,201961
SAMEA2467041,Hybrid (hybridspades),SemiBin_67.fa,72.59,14.37,0.862,120639,333.2119140625,2370302,0.62,37,227131
SAMEA2467041,Hybrid (hybridspades),SemiBin_68.fa,7.93,0.19,0.905,224719,317.8811881188119,318603,0.48,6,224719
SAMEA2467041,Hybrid (hybridspades),SemiBin_69.fa,10.97,0.0,0.853,220766,296.4749340369393,394027,0.58,6,220766
SAMEA2467041,Hybrid (hybridspades),SemiBin_7.fa,89.96,0.1,0.909,542070,365.029702970297,3647137,0.45,8,1444947
SAMEA2467041,Hybrid (hybridspades),SemiBin_70.fa,3.36,0.0,0.894,212377,391.0308641975309,212377,0.43,1,212377
SAMEA2467041,Hybrid (hybridspades),SemiBin_71.fa,20.16,0.08,0.85,111102,265.5863787375415,563150,0.31,6,211919
SAMEA2467041,Hybrid (hybridspades),SemiBin_72.fa,31.01,0.12,0.873,74150,280.7608440797187,819501,0.43,13,199170
SAMEA2467041,Hybrid (hybridspades),SemiBin_73.fa,12.22,0.09,0.864,57601,288.4295532646048,581625,0.54,21,197520
SAMEA2467041,Hybrid (hybridspades),SemiBin_77.fa,14.49,0.01,0.874,103090,326.8012958963283,518396,0.39,6,186283
SAMEA2467041,Hybrid (hybridspades),SemiBin_78.fa,10.05,0.03,0.878,182985,327.3465703971119,309215,0.47,4,182985
SAMEA2467041,Hybrid (hybridspades),SemiBin_79.fa,78.05,0.09,0.881,124122,309.065772669221,1645139,0.57,19,169236
SAMEA2467041,Hybrid (hybridspades),SemiBin_8.fa,80.1,15.62,0.886,1430111,306.6923076923077,2102901,0.38,8,1430111
SAMEA2467041,Hybrid (hybridspades),SemiBin_81.fa,13.94,0.33,0.894,112465,323.4854771784233,522248,0.42,8,164768
SAMEA2467041,Hybrid (hybridspades),SemiBin_82.fa,12.9,0.01,0.895,89057,264.5200845665962,417703,0.45,9,163970
SAMEA2467041,Hybrid (hybridspades),SemiBin_84.fa,22.91,0.1,0.823,89561,271.1390887290168,821122,0.46,11,153650
SAMEA2467041,Hybrid (hybridspades),SemiBin_85.fa,87.61,3.48,0.89,56331,301.9760365157855,2668490,0.42,69,152720
SAMEA2467041,Hybrid (hybridspades),SemiBin_86.fa,80.02,2.52,0.885,61250,329.9339796860572,2418821,0.49,61,150665
SAMEA2467041,Hybrid (hybridspades),SemiBin_87.fa,72.48,1.15,0.906,45343,275.0842812823165,1754291,0.46,79,144647
SAMEA2467041,Hybrid (hybridspades),SemiBin_88.fa,48.7,9.05,0.872,34991,294.8229965156794,1452323,0.42,59,143417
SAMEA2467041,Hybrid (hybridspades),SemiBin_89.fa,8.18,0.0,0.846,138937,354.9845360824742,243925,0.42,2,138937
SAMEA2467041,Hybrid (hybridspades),SemiBin_9.fa,69.32,0.18,0.88,1400619,304.7274074074074,1400619,0.39,1,1400619
SAMEA2467041,Hybrid (hybridspades),SemiBin_90.fa,9.6,0.02,0.891,63403,310.5352112676056,296260,0.41,5,138353
SAMEA2467041,Hybrid (hybridspades),SemiBin_91.fa,17.35,0.09,0.875,83135,293.7640306122449,787716,0.41,15,133088
SAMEA2467041,Hybrid (hybridspades),SemiBin_92.fa,6.03,0.0,0.903,124729,391.4268292682927,213009,0.38,3,124729
SAMEA2467041,Hybrid (hybridspades),SemiBin_93.fa,7.2,0.02,0.907,97896,338.9,279710,0.43,4,124580
SAMEA2467041,Hybrid (hybridspades),SemiBin_94.fa,29.68,1.18,0.808,13032,210.4709443099273,1283911,0.5,142,121883
SAMEA2467041,Hybrid (hybridspades),SemiBin_97.fa,14.19,0.11,0.857,92495,317.9096573208723,356339,0.46,4,104399
SAMEA2467041,Hybrid (hybridspades),SemiBin_98.fa,26.69,1.71,0.873,62818,270.1007518796993,615803,0.48,19,103055
SAMEA2467041,LR (metaflye),SemiBin_0.fa,99.79,0.1,0.908,147848,330.1011363636364,1915561,0.53,16,303549
SAMEA2467041,LR (metaflye),SemiBin_1.fa,99.21,5.01,0.903,187935,298.0615772416277,2744067,0.29,28,437084
SAMEA2467041,LR (metaflye),SemiBin_10.fa,85.08,1.35,0.843,138930,313.2950890916993,2562217,0.38,19,348018
SAMEA2467041,LR (metaflye),SemiBin_11.fa,81.89,6.27,0.855,824485,297.4800514800515,2426757,0.58,7,829835
SAMEA2467041,LR (metaflye),SemiBin_12.fa,95.46,2.25,0.875,659314,283.2258461538461,3144530,0.41,8,729288
SAMEA2467041,LR (metaflye),SemiBin_13.fa,67.5,4.1,0.877,17565,293.1609477124183,1225821,0.54,70,44633
SAMEA2467041,LR (metaflye),SemiBin_14.fa,75.19,2.95,0.886,74129,326.1785340314136,2105443,0.38,48,147181
SAMEA2467041,LR (metaflye),SemiBin_15.fa,74.68,0.05,0.855,260818,310.5703824247356,2673067,0.42,13,465718
SAMEA2467041,LR (metaflye),SemiBin_16.fa,78.84,2.52,0.838,28111,328.873398257304,2293684,0.45,100,74439
SAMEA2467041,LR (metaflye),SemiBin_17.fa,73.17,4.87,0.849,17968,298.2421273617915,1502501,0.43,92,42372
